Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land
PRL_16_KW52;Primary control Auction;3;MW;3;MW;3753.00;EUR/MW;11259.00;EUR;22.34;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;15;MW;15;MW;4389.00;EUR/MW;65835.00;EUR;26.12;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3217.00;EUR/MW;32170.00;EUR;19.15;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3295.00;EUR/MW;32950.00;EUR;19.61;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3326.00;EUR/MW;33260.00;EUR;19.80;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3373.00;EUR/MW;33730.00;EUR;20.08;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3385.00;EUR/MW;33850.00;EUR;20.15;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3411.00;EUR/MW;34110.00;EUR;20.30;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3553.00;EUR/MW;35530.00;EUR;21.15;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3624.00;EUR/MW;36240.00;EUR;21.57;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3703.00;EUR/MW;37030.00;EUR;22.04;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;18;MW;18;MW;2848.00;EUR/MW;51264.00;EUR;16.95;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;2;MW;2;MW;3249.00;EUR/MW;6498.00;EUR;19.34;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;1;MW;1;MW;2750.00;EUR/MW;2750.00;EUR;16.37;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;3;MW;3;MW;2941.00;EUR/MW;8823.00;EUR;17.51;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;3;MW;3;MW;3332.00;EUR/MW;9996.00;EUR;19.83;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;3;MW;3;MW;2688.00;EUR/MW;8064.00;EUR;16.00;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3338.00;EUR/MW;3338.00;EUR;19.87;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;1;MW;1;MW;4138.00;EUR/MW;4138.00;EUR;24.63;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;4;MW;4;MW;2649.00;EUR/MW;10596.00;EUR;15.77;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3338.00;EUR/MW;13352.00;EUR;19.87;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;2;MW;2;MW;3338.00;EUR/MW;6676.00;EUR;19.87;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;7;MW;7;MW;3524.50;EUR/MW;24671.50;EUR;20.98;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;8;MW;8;MW;3599.00;EUR/MW;28792.00;EUR;21.42;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;2950.00;EUR/MW;29500.00;EUR;17.56;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3200.00;EUR/MW;19200.00;EUR;19.05;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3219.00;EUR/MW;19314.00;EUR;19.16;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3238.00;EUR/MW;19428.00;EUR;19.27;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3257.00;EUR/MW;19542.00;EUR;19.39;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3276.00;EUR/MW;19656.00;EUR;19.50;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3295.00;EUR/MW;19770.00;EUR;19.61;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3314.00;EUR/MW;19884.00;EUR;19.73;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3333.00;EUR/MW;19998.00;EUR;19.84;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3352.00;EUR/MW;20112.00;EUR;19.95;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3371.00;EUR/MW;20226.00;EUR;20.07;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;8;MW;8;MW;3390.00;EUR/MW;27120.00;EUR;20.18;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;7;MW;7;MW;3450.00;EUR/MW;24150.00;EUR;20.54;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3224.00;EUR/MW;12896.00;EUR;19.19;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3300.00;EUR/MW;16500.00;EUR;19.64;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3366.67;EUR/MW;16833.35;EUR;20.04;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3433.33;EUR/MW;17166.65;EUR;20.44;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3500.00;EUR/MW;17500.00;EUR;20.83;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3650.00;EUR/MW;36500.00;EUR;21.73;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3700.00;EUR/MW;37000.00;EUR;22.02;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3750.00;EUR/MW;37500.00;EUR;22.32;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3800.00;EUR/MW;38000.00;EUR;22.62;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3850.00;EUR/MW;19250.00;EUR;22.92;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3942.86;EUR/MW;19714.30;EUR;23.47;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4035.71;EUR/MW;20178.55;EUR;24.02;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4128.57;EUR/MW;20642.85;EUR;24.57;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4221.43;EUR/MW;21107.15;EUR;25.13;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4314.29;EUR/MW;21571.45;EUR;25.68;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4407.14;EUR/MW;22035.70;EUR;26.23;EUR/MWh*;DE
