Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land;Angebotspreis;Einheit;Teilbarkeit
SRL_24_KW10_S1;Secondary control Auction SRL+;30;MW;30;MW;1880.00;CHF/MW;56400.00;CHF;11.19;CHF/MWh*;CH;11.19;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;7;MW;7;MW;1352.00;CHF/MW;9464.00;CHF;8.05;CHF/MWh*;CH;8.05;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;5;MW;5;MW;2385.60;CHF/MW;11928.00;CHF;14.20;CHF/MWh*;CH;14.20;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;5;MW;5;MW;2385.60;CHF/MW;11928.00;CHF;14.20;CHF/MWh*;CH;14.20;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;5;MW;5;MW;2383.92;CHF/MW;11919.60;CHF;14.19;CHF/MWh*;CH;14.19;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;5;MW;5;MW;2688.00;CHF/MW;13440.00;CHF;16.00;CHF/MWh*;CH;16.00;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;5;MW;5;MW;2083.20;CHF/MW;10416.00;CHF;12.40;CHF/MWh*;CH;12.40;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;10;MW;10;MW;2081.52;CHF/MW;20815.20;CHF;12.39;CHF/MWh*;CH;12.39;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;7;MW;7;MW;2084.88;CHF/MW;14594.16;CHF;12.41;CHF/MWh*;CH;12.41;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;7;MW;7;MW;2387.28;CHF/MW;16710.96;CHF;14.21;CHF/MWh*;CH;14.21;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;5;MW;5;MW;2083.20;CHF/MW;10416.00;CHF;12.40;CHF/MWh*;CH;12.40;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;100;MW;100;MW;1663.20;CHF/MW;166320.00;CHF;9.90;CHF/MWh*;CH;9.90;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;39;MW;39;MW;2168.20;CHF/MW;84559.80;CHF;12.91;CHF/MWh*;CH;12.91;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;5;MW;5;MW;1525.64;CHF/MW;7628.20;CHF;9.08;CHF/MWh*;CH;9.08;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;5;MW;5;MW;2728.00;CHF/MW;13640.00;CHF;16.24;CHF/MWh*;CH;16.24;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;5;MW;5;MW;4821.60;CHF/MW;24108.00;CHF;28.70;CHF/MWh*;CH;28.70;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;20;MW;20;MW;5368.00;CHF/MW;107360.00;CHF;31.95;CHF/MWh*;CH;31.95;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;10;MW;10;MW;5268.00;CHF/MW;52680.00;CHF;31.36;CHF/MWh*;CH;31.36;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;10;MW;10;MW;2255.00;CHF/MW;22550.00;CHF;13.42;CHF/MWh*;CH;13.42;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;5;MW;5;MW;4821.60;CHF/MW;24108.00;CHF;28.70;CHF/MWh*;CH;28.70;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;10;MW;10;MW;4541.00;CHF/MW;45410.00;CHF;27.03;CHF/MWh*;CH;27.03;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;5;MW;5;MW;5409.60;CHF/MW;27048.00;CHF;32.20;CHF/MWh*;CH;32.20;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;15;MW;15;MW;3991.00;CHF/MW;59865.00;CHF;23.76;CHF/MWh*;CH;23.76;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;5;MW;5;MW;5409.60;CHF/MW;27048.00;CHF;32.20;CHF/MWh*;CH;32.20;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;5;MW;5;MW;4821.60;CHF/MW;24108.00;CHF;28.70;CHF/MWh*;CH;28.70;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL-;10;MW;10;MW;4819.92;CHF/MW;48199.20;CHF;28.69;CHF/MWh*;CH;28.69;CHF/MWh*;
