Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2979.00;EUR/MW;2979.00;EUR;17.73;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2984.00;EUR/MW;2984.00;EUR;17.76;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2989.00;EUR/MW;2989.00;EUR;17.79;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2994.00;EUR/MW;2994.00;EUR;17.82;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2999.00;EUR/MW;2999.00;EUR;17.85;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;3004.00;EUR/MW;3004.00;EUR;17.88;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;3009.00;EUR/MW;3009.00;EUR;17.91;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;3014.00;EUR/MW;3014.00;EUR;17.94;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;3019.00;EUR/MW;3019.00;EUR;17.97;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;3266.00;EUR/MW;3266.00;EUR;19.44;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;2999.00;EUR/MW;14995.00;EUR;17.85;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3001.00;EUR/MW;15005.00;EUR;17.86;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3007.00;EUR/MW;15035.00;EUR;17.90;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3016.00;EUR/MW;15080.00;EUR;17.95;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3027.00;EUR/MW;15135.00;EUR;18.02;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3047.00;EUR/MW;15235.00;EUR;18.14;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;3053.00;EUR/MW;15265.00;EUR;18.17;EUR/MWh*
PRL_16_KW03;Primary control Auction;4;MW;4;MW;3058.00;EUR/MW;12232.00;EUR;18.20;EUR/MWh*
PRL_16_KW03;Primary control Auction;3;MW;3;MW;3061.00;EUR/MW;9183.00;EUR;18.22;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;3064.00;EUR/MW;3064.00;EUR;18.24;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2850.00;EUR/MW;2850.00;EUR;16.96;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;3050.00;EUR/MW;3050.00;EUR;18.15;EUR/MWh*
PRL_16_KW03;Primary control Auction;4;MW;4;MW;2960.00;EUR/MW;11840.00;EUR;17.62;EUR/MWh*
PRL_16_KW03;Primary control Auction;4;MW;4;MW;3160.00;EUR/MW;12640.00;EUR;18.81;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3016.00;EUR/MW;6032.00;EUR;17.95;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;2881.20;EUR/MW;14406.00;EUR;17.15;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;2889.60;EUR/MW;14448.00;EUR;17.20;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;2898.00;EUR/MW;14490.00;EUR;17.25;EUR/MWh*
PRL_16_KW03;Primary control Auction;5;MW;5;MW;2906.40;EUR/MW;14532.00;EUR;17.30;EUR/MWh*
PRL_16_KW03;Primary control Auction;3;MW;3;MW;2916.48;EUR/MW;8749.44;EUR;17.36;EUR/MWh*
PRL_16_KW03;Primary control Auction;3;MW;3;MW;2924.88;EUR/MW;8774.64;EUR;17.41;EUR/MWh*
PRL_16_KW03;Primary control Auction;3;MW;3;MW;2933.28;EUR/MW;8799.84;EUR;17.46;EUR/MWh*
PRL_16_KW03;Primary control Auction;3;MW;3;MW;2941.68;EUR/MW;8825.04;EUR;17.51;EUR/MWh*
PRL_16_KW03;Primary control Auction;3;MW;3;MW;2950.08;EUR/MW;8850.24;EUR;17.56;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;2958.48;EUR/MW;5916.96;EUR;17.61;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;2968.56;EUR/MW;5937.12;EUR;17.67;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;2976.96;EUR/MW;5953.92;EUR;17.72;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;2985.36;EUR/MW;5970.72;EUR;17.77;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;2993.76;EUR/MW;5987.52;EUR;17.82;EUR/MWh*
PRL_16_KW03;Primary control Auction;3;MW;3;MW;3003.84;EUR/MW;9011.52;EUR;17.88;EUR/MWh*
PRL_16_KW03;Primary control Auction;2;MW;2;MW;3010.56;EUR/MW;6021.12;EUR;17.92;EUR/MWh*
PRL_16_KW03;Primary control Auction;3;MW;3;MW;3049.20;EUR/MW;9147.60;EUR;18.15;EUR/MWh*
