Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3857.28;EUR/MW;7714.56;EUR;22.96;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3869.04;EUR/MW;7738.08;EUR;23.03;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3882.48;EUR/MW;7764.96;EUR;23.11;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3894.24;EUR/MW;7788.48;EUR;23.18;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3906;EUR/MW;7812;EUR;23.25;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3917.76;EUR/MW;7835.52;EUR;23.32;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3931.2;EUR/MW;7862.4;EUR;23.4;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3942.96;EUR/MW;7885.92;EUR;23.47;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3954.72;EUR/MW;7909.44;EUR;23.54;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3966.48;EUR/MW;7932.96;EUR;23.61;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3979.92;EUR/MW;7959.84;EUR;23.69;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3991.68;EUR/MW;7983.36;EUR;23.76;EUR/MWh*
PRL_15_KW17;Primary control Auction;3;MW;3;MW;4003.44;EUR/MW;12010.32;EUR;23.83;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4015.2;EUR/MW;8030.4;EUR;23.9;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4028.64;EUR/MW;8057.28;EUR;23.98;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4040.4;EUR/MW;8080.8;EUR;24.05;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4052.16;EUR/MW;8104.32;EUR;24.12;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4079.04;EUR/MW;8158.08;EUR;24.28;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4110.96;EUR/MW;8221.92;EUR;24.47;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4141.2;EUR/MW;8282.4;EUR;24.65;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4173.12;EUR/MW;8346.24;EUR;24.84;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4203.36;EUR/MW;8406.72;EUR;25.02;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4230.24;EUR/MW;8460.48;EUR;25.18;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4344.48;EUR/MW;8688.96;EUR;25.86;EUR/MWh*
PRL_15_KW17;Primary control Auction;6;MW;6;MW;4162;EUR/MW;24972;EUR;24.77;EUR/MWh*
PRL_15_KW17;Primary control Auction;5;MW;5;MW;4052;EUR/MW;20260;EUR;24.12;EUR/MWh*
PRL_15_KW17;Primary control Auction;5;MW;5;MW;4067;EUR/MW;20335;EUR;24.21;EUR/MWh*
