Ausschreibung,Beschreibung,Total_MW
PRL_24_03_02,Primary control Auction 12:00 bis 16:00,31
PRL_24_03_02,Primary control Auction 16:00 bis 20:00,56
PRL_24_03_02,Primary control Auction 20:00 bis 24:00,33
PRL_24_03_03,Primary control Auction 00:00 bis 04:00,26
PRL_24_03_03,Primary control Auction 04:00 bis 08:00,25
PRL_24_03_03,Primary control Auction 08:00 bis 12:00,27
PRL_24_03_03,Primary control Auction 12:00 bis 16:00,28
PRL_24_03_03,Primary control Auction 16:00 bis 20:00,93
PRL_24_03_03,Primary control Auction 20:00 bis 24:00,45
PRL_24_03_04,Primary control Auction 00:00 bis 04:00,29
PRL_24_03_04,Primary control Auction 04:00 bis 08:00,26
PRL_24_03_04,Primary control Auction 08:00 bis 12:00,31
PRL_24_03_04,Primary control Auction 12:00 bis 16:00,62
PRL_24_03_04,Primary control Auction 16:00 bis 20:00,36
PRL_24_03_04,Primary control Auction 20:00 bis 24:00,43
PRL_24_03_05,Primary control Auction 00:00 bis 04:00,19
PRL_24_03_05,Primary control Auction 04:00 bis 08:00,42
PRL_24_03_05,Primary control Auction 08:00 bis 12:00,42
PRL_24_03_05,Primary control Auction 12:00 bis 16:00,30
PRL_24_03_05,Primary control Auction 16:00 bis 20:00,55
PRL_24_03_05,Primary control Auction 20:00 bis 24:00,43
PRL_24_03_06,Primary control Auction 00:00 bis 04:00,19
PRL_24_03_06,Primary control Auction 04:00 bis 08:00,24
PRL_24_03_06,Primary control Auction 08:00 bis 12:00,32
PRL_24_03_06,Primary control Auction 12:00 bis 16:00,29
PRL_24_03_06,Primary control Auction 16:00 bis 20:00,44
PRL_24_03_06,Primary control Auction 20:00 bis 24:00,23
PRL_24_03_07,Primary control Auction 00:00 bis 04:00,27
PRL_24_03_07,Primary control Auction 04:00 bis 08:00,35
PRL_24_03_07,Primary control Auction 08:00 bis 12:00,62
PRL_24_03_07,Primary control Auction 12:00 bis 16:00,37
PRL_24_03_07,Primary control Auction 16:00 bis 20:00,108
PRL_24_03_07,Primary control Auction 20:00 bis 24:00,23
PRL_24_03_08,Primary control Auction 00:00 bis 04:00,29
PRL_24_03_08,Primary control Auction 04:00 bis 08:00,28
PRL_24_03_08,Primary control Auction 08:00 bis 12:00,47
PRL_24_03_08,Primary control Auction 12:00 bis 16:00,89
PRL_24_03_08,Primary control Auction 16:00 bis 20:00,93
PRL_24_03_08,Primary control Auction 20:00 bis 24:00,26
PRL_24_03_09,Primary control Auction 00:00 bis 04:00,29
PRL_24_03_09,Primary control Auction 04:00 bis 08:00,29
