Ausschreibung,Preis
PRL_24_04_18_4,29.41
PRL_24_04_18_5,13.4
PRL_24_04_18_6,9.62
PRL_24_04_19_1,11.48
PRL_24_04_19_2,14.8
PRL_24_04_19_3,19.76
PRL_24_04_19_4,26.65
PRL_24_04_19_5,15.51
PRL_24_04_19_6,11.34
PRL_24_04_20_1,16.64
PRL_24_04_20_2,17.99
PRL_24_04_20_3,27.96
PRL_24_04_20_4,28.12
PRL_24_04_20_5,23.6
PRL_24_04_20_6,11.53
PRL_24_04_21_1,14.1
PRL_24_04_21_2,15.5
PRL_24_04_21_3,24.2
PRL_24_04_21_4,31.8
PRL_24_04_21_5,23.7
PRL_24_04_21_6,11.83
PRL_24_04_22_1,11.9
PRL_24_04_22_2,14.0
PRL_24_04_22_3,21.5
PRL_24_04_22_4,27.03
PRL_24_04_22_5,19.4
PRL_24_04_22_6,12.87
PRL_24_04_23_1,7.92
PRL_24_04_23_2,10.42
PRL_24_04_23_3,14.41
PRL_24_04_23_4,19.89
PRL_24_04_23_5,10.7
PRL_24_04_23_6,8.0
PRL_24_04_24_1,9.48
PRL_24_04_24_2,15.0
PRL_24_04_24_3,17.08
PRL_24_04_24_4,18.45
PRL_24_04_24_5,17.87
PRL_24_04_24_6,14.1
PRL_24_04_25_1,8.36
PRL_24_04_25_2,16.46
PRL_24_04_25_3,16.98
PRL_24_04_25_4,14.84
PRL_24_04_25_5,12.5
PRL_24_04_26_1,10.1
PRL_24_04_26_2,17.0
PRL_24_04_26_3,18.56
PRL_24_04_26_4,17.18
PRL_24_04_26_5,18.69
PRL_24_04_26_6,17.0
PRL_24_04_27_1,9.0
PRL_24_04_27_2,13.75
PRL_24_04_27_3,20.3
PRL_24_04_27_4,24.2
PRL_24_04_27_5,21.8
PRL_24_04_27_6,13.8
PRL_24_04_28_1,11.25
PRL_24_04_28_2,13.9
PRL_24_04_28_3,31.01
PRL_24_04_28_4,45.5
PRL_24_04_28_5,23.62
PRL_24_04_28_6,16.54
PRL_24_04_29_1,10.27
PRL_24_04_29_2,12.75
PRL_24_04_29_3,19.85
PRL_24_04_29_4,33.92
PRL_24_04_29_5,16.73
PRL_24_04_29_6,12.7
PRL_24_04_30_1,9.9
PRL_24_04_30_2,11.14
PRL_24_04_30_3,14.18
PRL_24_04_30_4,25.02
PRL_24_04_30_5,12.75
PRL_24_04_30_6,11.43
PRL_24_05_01_1,9.0
PRL_24_05_01_2,14.14
PRL_24_05_01_3,32.0
PRL_24_05_01_4,45.0
PRL_24_05_01_5,27.75
PRL_24_05_01_6,14.3
PRL_24_05_02_1,9.53
PRL_24_05_02_2,13.8
PRL_24_05_02_3,27.0
PRL_24_05_02_4,41.56
PRL_24_05_02_5,21.75
PRL_24_05_02_6,13.5
PRL_24_05_03_1,10.5
PRL_24_05_03_2,12.75
PRL_24_05_03_3,16.95
PRL_24_05_03_4,30.0
PRL_24_05_03_5,14.0
PRL_24_05_03_6,9.8
PRL_24_05_04_1,9.73
PRL_24_05_04_2,11.62
PRL_24_05_04_3,23.5
PRL_24_05_04_4,28.84
PRL_24_05_04_5,17.0
PRL_24_05_04_6,10.92
PRL_24_05_05_1,9.6
PRL_24_05_05_2,12.44
PRL_24_05_05_3,25.0
PRL_24_05_05_4,40.0
PRL_24_05_05_5,21.94
PRL_24_05_05_6,8.75
PRL_24_05_06_1,8.0
PRL_24_05_06_2,11.25
PRL_24_05_06_3,20.95
